cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,Cmmm | 2a 2b 4f,0.40919109543751375,9074,12123
1,F-43m | 4a 4b 4c 4d,0.9825358016067063,5726,8987
2,F-43m | 4a 4b 4c 4d,0.5882419446014697,8845,13285
3,R3m | 3a 3a 3a 3a,0.9123584441161989,4062,5642
4,Cmm2 | 2a 2a 2b 2b,0.3338242513500245,10185,13978
5,C2/m | 2a 2d 4i,0.08582335132289061,7597,10232
6,P2/m | 1a 1c 2n,0.1775747098048901,8098,11049
7,I4/mmm | 2a 4d 4e,0.10997870398539702,6574,8949
8,F-43m | 4a 4b 4c 4d,0.9740546829552065,8595,12813
9,Pm | 1a 1a 1b 1b,0.4840245775729647,6510,8737
10,P3m1 | 1a 1b 1c,0.429284206486279,5211,7149
11,R-3m | 3a 3b 6c,0.7372992461488037,6102,8625
12,I-4m2 | 2a 2b 2c 2d,0.5875352048696284,11007,14879
13,F-43m | 4a 4b 4c 4d,0.9983693879769541,9199,12415
14,C2/m | 2a 2d 4i,0.5145345991974161,10217,12840
15,Fm-3m | 4a 4b 8c,0.6003787878787878,3168,13497
16,P4mm | 1a 1a 1b 1b,0.3711498973305955,7792,10613
17,P-6m2 | 1a 1b 2h,0.18014814814814814,6750,8748
18,F-43m | 4a 4b 4c 4d,0.9796519068338879,7814,11676
19,I4/mmm | 2a 8h 8i,0.06578342073787836,10869,14111
20,Imm2 | 2a 2a 2b 2b,0.4111254851228978,7730,10614
21,I4/mmm | 2a 2b 4d,0.43522066127430115,7047,9506
22,P2/m | 1a 1g 2n,0.477926774144945,6637,9391
23,Immm | 2a 2c 4j,0.21258937691521962,7832,10696
24,P4mm | 1a 1a 1b 1b,0.5651776649746193,9850,13523
25,Pmmm | 1a 1d 1f 1g,0.5148701217216715,7969,11207
26,F-43m | 4a 4b 4c 4d,0.5568785672111789,10162,14694
27,P4/mmm | 1a 1c 2e,0.6103506243996157,8328,11397
28,Imm2 | 2a 2a 2b 2b,0.472778599274096,7439,10412
29,P4mm | 1a 1a 1b 1b,0.5390935595017228,7546,10492
30,R-3m | 3a 3b 6c,0.9817677368212445,7569,10411
31,I-4m2 | 2a 2b 2c 2d,0.23323397913561847,9394,12664
32,I4mm | 2a 2a 2a,0.5759457118105689,6926,8576
33,I-4m2 | 2a 2b 2c 2d,0.436742934051144,8916,12120
34,I4/mmm | 2a 2b 4d,0.48547939355114245,9366,12603
35,Cm | 2a 2a 2a 2a,0.7638116425658139,8091,9975
36,Fm-3m | 4a 4b 8c,0.45151991614255765,7632,11911
37,F-43m | 4a 4c 16e,0.9315554538170997,8737,12040
38,Cmmm | 2a 2b 4f,0.28839638622247316,7084,9515
39,Fmm2 | 4a 4a 4a,0.1574894108586831,7791,10192
40,Pmmm | 1a 1d 1f 1g,0.4848055424342623,6351,8838
41,Cmmm | 2a 2b 2c 2d 4i 4j 4k 4l 8n 16r 16r,0.12063649925410244,10055,13769
42,F-43m | 4a 4b 4c 4d,0.9992980344965905,9972,13331
43,P2/m | 1a 1g 2n,0.2282689727150738,6707,9422
44,P3m1 | 1a 1b 1c,0.9294024325753569,3782,5254
45,Pm | 1a 1a 1b 1b,0.645923010699791,8131,11150
46,R-3m | 3a 3b 6c,0.6913057124921532,6372,8146
47,F-43m | 4a 4b 4c 4d,0.9988395033074156,8617,12985
48,Cmm2 | 2a 2a 2b 2b,0.3924173239241732,7227,9962
49,Cm | 2a 2a 2a 2a,0.8920258123991703,8678,10372
50,F-43m | 4a 4c 16e,0.9307238272755514,9657,13649
51,P4/mmm | 1a 1c 2e,0.7587201318319143,7282,10234
52,Pmmm | 1a 1d 1f 1g,0.3010044642857143,8960,12115
53,Cm | 2a 2a 2a 2a 2a 2a,0.16731835955260527,10997,15233
54,Cm | 2a 2a 2a 2a 2a 2a,0.27398081534772184,10008,12962
55,P4/mmm | 1a 1c 2e,0.5545175326337344,7814,10716
56,P4mm | 1a 1a 1b 1b,0.40894860422645446,7666,10591
57,P4mm | 1a 1a 1b 1b,0.298007630351844,7077,9490
58,I-43m | 2a 8c 24g 24g,0.09801921278585395,11763,15281
59,P2/m | 1a 1g 2n,0.2887909936368086,6129,8387
60,P3m1 | 1a 1b 1c,0.9544840887174542,5185,7060
61,Immm | 2a 2c 4j,0.3390944150835595,7001,9574
62,F-43m | 4a 4b 4c 4d,0.9893408744833587,9194,13333
63,I4/mmm | 2a 2b 4d,0.34936889735651344,8398,11541
64,R-3m | 3a 3b 6c,0.7348053975688636,8967,11686
